starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 26 12:56:12 2022	1643172972	14	51	65	44
Wed Jan 26 12:56:12 2022	1643172972	15	50	65	44
Wed Jan 26 12:56:12 2022	1643172972	15	54	69	49
Wed Jan 26 12:56:12 2022	1643172972	14	61	75	55
Wed Jan 26 12:56:12 2022	1643172972	15	62	77	56
Wed Jan 26 12:56:12 2022	1643172972	15	63	78	60
Wed Jan 26 12:56:12 2022	1643172972	14	70	85	66
Wed Jan 26 12:56:12 2022	1643172972	14	73	87	68
Wed Jan 26 12:56:12 2022	1643172972	14	75	89	71
Wed Jan 26 12:56:12 2022	1643172972	14	75	89	71
Wed Jan 26 12:56:12 2022	1643172972	8	189	197	154
Wed Jan 26 12:56:12 2022	1643172972	8	191	199	156
Wed Jan 26 12:56:12 2022	1643172972	8	215	223	186
Wed Jan 26 12:56:12 2022	1643172972	9	216	224	187
Wed Jan 26 12:56:12 2022	1643172972	8	258	266	250
Wed Jan 26 12:56:12 2022	1643172972	8	259	267	251
Wed Jan 26 12:56:12 2022	1643172972	8	282	291	271
Wed Jan 26 12:56:12 2022	1643172972	8	300	308	291
Wed Jan 26 12:56:12 2022	1643172972	9	304	312	296
Wed Jan 26 12:56:12 2022	1643172972	8	307	315	302
Wed Jan 26 12:56:12 2022	1643172972	9	315	324	311
Wed Jan 26 12:56:12 2022	1643172972	9	326	334	318
Wed Jan 26 12:56:18 2022	1643172978	7	327	334	65
Wed Jan 26 12:56:18 2022	1643172978	9	326	335	65
Wed Jan 26 12:56:18 2022	1643172978	6	330	336	67
Wed Jan 26 12:56:18 2022	1643172978	5	332	337	68
Wed Jan 26 12:56:12 2022	1643172972	5	333	337	64
Wed Jan 26 12:56:18 2022	1643172978	4	333	337	68
Wed Jan 26 12:56:18 2022	1643172978	8	331	339	68
Wed Jan 26 12:56:12 2022	1643172972	9	345	354	336
Wed Jan 26 12:56:18 2022	1643172978	19	336	355	48
Wed Jan 26 12:56:12 2022	1643172972	11	345	356	329
Wed Jan 26 12:56:18 2022	1643172978	17	340	357	58
Wed Jan 26 12:56:18 2022	1643172978	7	353	360	66
Wed Jan 26 12:56:18 2022	1643172978	7	355	362	68
Wed Jan 26 12:56:18 2022	1643172978	18	344	363	61
Wed Jan 26 12:56:18 2022	1643172978	5	362	366	85
Wed Jan 26 12:56:22 2022	1643172982	25	343	368	64
Wed Jan 26 12:56:12 2022	1643172972	9	361	371	339
Wed Jan 26 12:56:22 2022	1643172982	12	363	375	71
Wed Jan 26 12:56:12 2022	1643172972	10	365	376	359
Wed Jan 26 12:56:18 2022	1643172978	21	354	376	53
Wed Jan 26 12:56:18 2022	1643172978	4	375	379	83
Wed Jan 26 12:56:22 2022	1643172982	19	360	379	91
Wed Jan 26 12:56:22 2022	1643172982	17	364	381	61
Wed Jan 26 12:56:22 2022	1643172982	13	368	382	65
Wed Jan 26 12:56:22 2022	1643172982	7	376	383	113
Wed Jan 26 12:56:22 2022	1643172982	9	378	386	65
Wed Jan 26 12:56:14 2022	1643172974	13	374	387	58
Wed Jan 26 12:56:22 2022	1643172982	16	370	387	71
Wed Jan 26 12:56:18 2022	1643172978	26	362	388	76
Wed Jan 26 12:56:22 2022	1643172982	15	374	389	79
Wed Jan 26 12:56:22 2022	1643172982	10	380	390	71
Wed Jan 26 12:56:22 2022	1643172982	8	382	390	117
Wed Jan 26 12:56:22 2022	1643172982	13	378	391	116
Wed Jan 26 12:56:22 2022	1643172982	15	378	393	68
Wed Jan 26 12:56:22 2022	1643172982	20	375	394	121
Wed Jan 26 12:56:22 2022	1643172982	19	376	394	121
Wed Jan 26 12:56:22 2022	1643172982	18	377	395	121
Wed Jan 26 12:56:14 2022	1643172974	3	392	395	79
Wed Jan 26 12:56:22 2022	1643172982	20	376	396	117
Wed Jan 26 12:56:14 2022	1643172974	2	395	396	81
Wed Jan 26 12:56:14 2022	1643172974	2	395	397	81
Wed Jan 26 12:56:14 2022	1643172974	5	392	397	80
Wed Jan 26 12:56:18 2022	1643172978	16	381	397	74
Wed Jan 26 12:56:14 2022	1643172974	3	394	397	42
Wed Jan 26 12:56:18 2022	1643172978	25	372	398	86
Wed Jan 26 12:56:14 2022	1643172974	3	394	398	81
Wed Jan 26 12:56:14 2022	1643172974	3	395	398	72
Wed Jan 26 12:56:18 2022	1643172978	17	382	399	69
Wed Jan 26 12:56:14 2022	1643172974	5	395	399	73
Wed Jan 26 12:56:18 2022	1643172978	24	376	399	73
Wed Jan 26 12:56:22 2022	1643172982	17	383	400	76
Wed Jan 26 12:56:14 2022	1643172974	24	377	401	49
Wed Jan 26 12:56:14 2022	1643172974	3	397	401	98
Wed Jan 26 12:56:14 2022	1643172974	7	394	401	62
Wed Jan 26 12:56:14 2022	1643172974	7	394	401	80
Wed Jan 26 12:56:14 2022	1643172974	7	396	403	77
Wed Jan 26 12:56:22 2022	1643172982	9	394	403	88
Wed Jan 26 12:56:22 2022	1643172982	10	393	403	88
Wed Jan 26 12:56:12 2022	1643172972	5	399	404	84
Wed Jan 26 12:56:14 2022	1643172974	4	401	405	99
Wed Jan 26 12:56:12 2022	1643172972	9	396	405	62
