starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 26 01:23:49 2022	1643131429	13	73	87	46
Wed Jan 26 01:23:49 2022	1643131429	13	82	95	48
Wed Jan 26 01:23:49 2022	1643131429	14	84	98	51
Wed Jan 26 01:23:49 2022	1643131429	14	85	99	54
Wed Jan 26 01:23:49 2022	1643131429	12	101	112	90
Wed Jan 26 01:23:49 2022	1643131429	12	107	119	102
Wed Jan 26 01:23:49 2022	1643131429	12	122	133	106
Wed Jan 26 01:23:49 2022	1643131429	12	124	135	109
Wed Jan 26 01:23:49 2022	1643131429	12	127	139	113
Wed Jan 26 01:23:49 2022	1643131429	12	142	154	125
Wed Jan 26 01:23:49 2022	1643131429	12	145	157	130
Wed Jan 26 01:23:49 2022	1643131429	12	168	181	163
Wed Jan 26 01:24:00 2022	1643131440	6	188	194	52
Wed Jan 26 01:24:00 2022	1643131440	13	190	204	52
Wed Jan 26 01:24:00 2022	1643131440	14	190	204	54
Wed Jan 26 01:23:49 2022	1643131429	13	191	204	186
Wed Jan 26 01:24:00 2022	1643131440	14	191	205	53
Wed Jan 26 01:24:00 2022	1643131440	1	206	207	68
Wed Jan 26 01:24:00 2022	1643131440	1	208	210	69
Wed Jan 26 01:24:00 2022	1643131440	2	209	210	70
Wed Jan 26 01:24:00 2022	1643131440	1	210	211	71
Wed Jan 26 01:24:00 2022	1643131440	2	210	211	71
Wed Jan 26 01:24:00 2022	1643131440	2	210	212	71
Wed Jan 26 01:24:00 2022	1643131440	2	213	215	74
Wed Jan 26 01:24:00 2022	1643131440	4	214	217	75
Wed Jan 26 01:24:00 2022	1643131440	6	223	229	37
Wed Jan 26 01:24:00 2022	1643131440	4	229	234	39
Wed Jan 26 01:24:00 2022	1643131440	7	230	237	25
Wed Jan 26 01:23:49 2022	1643131429	13	229	241	208
Wed Jan 26 01:24:00 2022	1643131440	2	239	241	34
Wed Jan 26 01:23:49 2022	1643131429	12	234	246	218
Wed Jan 26 01:23:49 2022	1643131429	13	238	251	223
Wed Jan 26 01:24:00 2022	1643131440	4	254	258	39
Wed Jan 26 01:24:00 2022	1643131440	4	258	262	35
Wed Jan 26 01:24:00 2022	1643131440	9	273	282	37
Wed Jan 26 01:23:49 2022	1643131429	12	273	285	259
Wed Jan 26 01:24:00 2022	1643131440	13	273	287	44
Wed Jan 26 01:23:49 2022	1643131429	12	275	287	267
Wed Jan 26 01:23:49 2022	1643131429	13	276	288	261
Wed Jan 26 01:24:00 2022	1643131440	13	277	290	40
Wed Jan 26 01:24:00 2022	1643131440	6	287	293	46
Wed Jan 26 01:24:00 2022	1643131440	6	290	296	49
Wed Jan 26 01:23:57 2022	1643131437	3	313	316	56
Wed Jan 26 01:23:57 2022	1643131437	4	312	316	58
Wed Jan 26 01:23:49 2022	1643131429	12	305	317	287
Wed Jan 26 01:23:57 2022	1643131437	7	313	320	73
Wed Jan 26 01:23:57 2022	1643131437	4	316	320	52
Wed Jan 26 01:23:57 2022	1643131437	2	321	322	93
Wed Jan 26 01:24:00 2022	1643131440	15	308	323	50
Wed Jan 26 01:23:57 2022	1643131437	10	315	325	49
Wed Jan 26 01:23:57 2022	1643131437	6	319	326	65
Wed Jan 26 01:23:57 2022	1643131437	8	318	326	79
Wed Jan 26 01:23:57 2022	1643131437	5	321	326	65
Wed Jan 26 01:23:57 2022	1643131437	13	314	327	50
Wed Jan 26 01:23:57 2022	1643131437	13	314	327	55
Wed Jan 26 01:23:57 2022	1643131437	4	325	329	62
Wed Jan 26 01:23:57 2022	1643131437	7	322	329	69
Wed Jan 26 01:23:57 2022	1643131437	14	315	330	59
Wed Jan 26 01:23:57 2022	1643131437	2	328	330	84
Wed Jan 26 01:23:57 2022	1643131437	12	318	330	56
Wed Jan 26 01:23:49 2022	1643131429	14	317	331	292
Wed Jan 26 01:23:57 2022	1643131437	9	322	332	65
Wed Jan 26 01:23:57 2022	1643131437	8	324	332	65
Wed Jan 26 01:23:57 2022	1643131437	1	333	334	132
Wed Jan 26 01:23:57 2022	1643131437	8	326	335	70
Wed Jan 26 01:23:57 2022	1643131437	10	325	335	60
Wed Jan 26 01:23:57 2022	1643131437	2	333	335	130
Wed Jan 26 01:23:57 2022	1643131437	12	323	335	52
Wed Jan 26 01:23:57 2022	1643131437	2	333	335	129
Wed Jan 26 01:23:57 2022	1643131437	11	325	335	60
Wed Jan 26 01:23:57 2022	1643131437	15	322	337	57
Wed Jan 26 01:24:00 2022	1643131440	18	319	337	55
Wed Jan 26 01:23:57 2022	1643131437	12	327	338	65
Wed Jan 26 01:23:57 2022	1643131437	19	323	342	66
Wed Jan 26 01:23:57 2022	1643131437	14	333	347	110
Wed Jan 26 01:23:57 2022	1643131437	15	334	349	68
Wed Jan 26 01:23:57 2022	1643131437	14	335	349	67
Wed Jan 26 01:23:57 2022	1643131437	9	345	354	86
Wed Jan 26 01:23:49 2022	1643131429	13	342	355	298
Wed Jan 26 01:23:49 2022	1643131429	12	343	355	304
Wed Jan 26 01:23:57 2022	1643131437	28	328	356	64
Wed Jan 26 01:23:49 2022	1643131429	14	343	357	299
Wed Jan 26 01:23:57 2022	1643131437	4	357	360	48
Wed Jan 26 01:23:57 2022	1643131437	48	318	365	54
Wed Jan 26 01:24:00 2022	1643131440	29	344	374	83
Wed Jan 26 01:24:00 2022	1643131440	11	367	379	95
Wed Jan 26 01:23:57 2022	1643131437	4	377	381	69
Wed Jan 26 01:23:57 2022	1643131437	5	377	382	71
Wed Jan 26 01:24:00 2022	1643131440	17	367	384	77
Wed Jan 26 01:23:49 2022	1643131429	20	366	386	318
Wed Jan 26 01:23:49 2022	1643131429	12	377	389	315
Wed Jan 26 01:24:00 2022	1643131440	22	367	389	81
Wed Jan 26 01:24:00 2022	1643131440	23	367	390	103
Wed Jan 26 01:23:51 2022	1643131431	8	387	395	31
Wed Jan 26 01:23:57 2022	1643131437	9	393	401	151
Wed Jan 26 01:23:57 2022	1643131437	28	375	402	71
Wed Jan 26 01:23:57 2022	1643131437	27	376	403	71
Wed Jan 26 01:23:51 2022	1643131431	10	393	403	36
Wed Jan 26 01:23:57 2022	1643131437	15	391	406	151
Wed Jan 26 01:23:51 2022	1643131431	14	394	408	40
Wed Jan 26 01:23:51 2022	1643131431	14	398	412	43
Wed Jan 26 01:23:51 2022	1643131431	25	389	415	36
Wed Jan 26 01:23:51 2022	1643131431	17	401	417	54
Wed Jan 26 01:24:00 2022	1643131440	32	390	422	104
Wed Jan 26 01:23:57 2022	1643131437	2	420	422	162
Wed Jan 26 01:24:00 2022	1643131440	33	390	423	92
Wed Jan 26 01:23:51 2022	1643131431	24	399	423	46
Wed Jan 26 01:23:51 2022	1643131431	18	406	423	57
Wed Jan 26 01:23:51 2022	1643131431	22	402	424	62
Wed Jan 26 01:23:51 2022	1643131431	9	415	424	50
Wed Jan 26 01:23:51 2022	1643131431	20	404	424	67
Wed Jan 26 01:24:00 2022	1643131440	34	391	425	114
Wed Jan 26 01:23:51 2022	1643131431	2	425	427	51
Wed Jan 26 01:23:49 2022	1643131429	13	415	427	336
Wed Jan 26 01:23:51 2022	1643131431	20	408	427	67
Wed Jan 26 01:23:51 2022	1643131431	6	421	428	43
Wed Jan 26 01:23:51 2022	1643131431	23	407	430	85
Wed Jan 26 01:23:57 2022	1643131437	7	424	431	62
Wed Jan 26 01:24:00 2022	1643131440	17	414	431	111
Wed Jan 26 01:23:51 2022	1643131431	9	423	431	43
Wed Jan 26 01:23:51 2022	1643131431	19	412	432	67
Wed Jan 26 01:23:57 2022	1643131437	13	419	432	162
Wed Jan 26 01:23:57 2022	1643131437	26	406	432	57
Wed Jan 26 01:23:51 2022	1643131431	5	428	433	53
Wed Jan 26 01:23:51 2022	1643131431	20	413	433	71
Wed Jan 26 01:23:51 2022	1643131431	26	408	434	55
Wed Jan 26 01:23:51 2022	1643131431	4	430	434	51
Wed Jan 26 01:23:57 2022	1643131437	6	428	434	79
Wed Jan 26 01:23:51 2022	1643131431	20	418	437	70
Wed Jan 26 01:23:51 2022	1643131431	7	432	439	93
Wed Jan 26 01:23:51 2022	1643131431	8	431	439	53
Wed Jan 26 01:23:51 2022	1643131431	9	433	442	96
Wed Jan 26 01:24:00 2022	1643131440	18	425	443	106
Wed Jan 26 01:24:00 2022	1643131440	19	425	444	127
Wed Jan 26 01:24:00 2022	1643131440	19	425	444	102
Wed Jan 26 01:23:51 2022	1643131431	20	424	444	84
Wed Jan 26 01:24:00 2022	1643131440	20	425	445	122
Wed Jan 26 01:24:00 2022	1643131440	20	426	446	139
Wed Jan 26 01:23:57 2022	1643131437	19	428	447	79
Wed Jan 26 01:23:51 2022	1643131431	31	418	449	78
Wed Jan 26 01:24:00 2022	1643131440	18	432	450	113
Wed Jan 26 01:23:51 2022	1643131431	30	420	450	76
Wed Jan 26 01:23:51 2022	1643131431	32	419	451	76
Wed Jan 26 01:23:58 2022	1643131438	4	448	452	50
Wed Jan 26 01:24:00 2022	1643131440	21	431	452	94
Wed Jan 26 01:23:51 2022	1643131431	4	449	453	50
Wed Jan 26 01:23:51 2022	1643131431	7	446	453	46
Wed Jan 26 01:23:51 2022	1643131431	38	416	453	76
Wed Jan 26 01:23:51 2022	1643131431	30	424	454	90
Wed Jan 26 01:23:51 2022	1643131431	19	435	454	91
Wed Jan 26 01:24:00 2022	1643131440	22	432	454	136
Wed Jan 26 01:23:58 2022	1643131438	3	453	456	43
Wed Jan 26 01:24:00 2022	1643131440	11	445	457	107
Wed Jan 26 01:23:51 2022	1643131431	8	450	459	56
Wed Jan 26 01:23:51 2022	1643131431	18	442	460	110
Wed Jan 26 01:23:58 2022	1643131438	11	449	460	61
Wed Jan 26 01:23:51 2022	1643131431	19	442	461	111
Wed Jan 26 01:23:51 2022	1643131431	5	456	461	57
Wed Jan 26 01:23:58 2022	1643131438	4	457	461	49
Wed Jan 26 01:23:58 2022	1643131438	8	454	462	72
Wed Jan 26 01:23:51 2022	1643131431	34	429	462	85
